     file  region                                  year wage_ratio
     <chr> <chr>                                  <int>      <dbl>
 466 de00h [10]DEA - North Rhine-Westphalia        2000      1.06 
 467 de00h [11]DEB - Rhineland-Palatinate          2000      1.06 
 468 de00h [12]DEC - Saarland                      2000      1.03 
 469 de00h [13]DED - Saxony                        2000      1.11 
 470 de00h [14]DEE - Saxony-Anhalt                 2000      1.18 
 471 de00h [15]DEF - Schleswig-Holstein            2000      1.08 
 472 de00h [16]DEG - Thuringia                     2000      1.12 
 473 de00h [1]DE1 - Baden-Wuerttemberg             2000      1.10 
 474 de00h [2]DE2 - Bavaria                        2000      1.10 
 475 de00h [3]DE3 - Berlin                         2000      1.25 
 476 de00h [4]DE4 - Brandenburg                    2000      1.27 
 477 de00h [5]DE5 - Bremen                         2000      1.41 
 478 de00h [6]DE6 - Hamburg                        2000      1.15 
 479 de00h [7]DE7 - Hesse                          2000      1.04 
 480 de00h [8]DE8 - Mecklenburg-Western Pomerania  2000      1.21 
 481 de00h [9]DE9 - Lower Saxony                   2000      1.10 
 482 de01h [10]DEA - North Rhine-Westphalia        2001      1.04 
 483 de01h [11]DEB - Rhineland-Palatinate          2001      1.04 
 484 de01h [12]DEC - Saarland                      2001      1.16 
 485 de01h [13]DED - Saxony                        2001      1.15 
 486 de01h [14]DEE - Saxony-Anhalt                 2001      1.11 
 487 de01h [15]DEF - Schleswig-Holstein            2001      1.07 
 488 de01h [16]DEG - Thuringia                     2001      1.05 
 489 de01h [1]DE1 - Baden-Wuerttemberg             2001      1.01 
 490 de01h [2]DE2 - Bavaria                        2001      1.03 
 491 de01h [3]DE3 - Berlin                         2001      0.993
